Timestamp,Ball_Position
2024-02-18 16:12:24.291020,"(213, 243)"
2024-02-18 16:12:24.525305,"(211, 262)"
2024-02-18 16:12:24.755359,"(209, 288)"
2024-02-18 16:12:24.996847,"(207, 323)"
2024-02-18 16:12:25.464987,"(200, 407)"
2024-02-18 16:12:25.698743,"(198, 455)"
2024-02-18 16:12:25.931626,"(194, 508)"
2024-02-18 16:12:26.168830,"(191, 561)"
2024-02-18 16:12:26.403602,"(194, 517)"
2024-02-18 16:12:26.890705,"(199, 434)"
2024-02-18 16:12:27.137701,"(202, 400)"
2024-02-18 16:12:27.384059,"(205, 369)"
2024-02-18 16:12:27.627267,"(207, 342)"
2024-02-18 16:12:27.871060,"(211, 320)"
2024-02-18 16:12:28.104804,"(213, 305)"
2024-02-18 16:12:28.331898,"(215, 300)"
2024-02-18 16:12:28.572688,"(215, 308)"
2024-02-18 16:12:29.262546,"(212, 405)"
2024-02-18 16:12:29.496943,"(211, 446)"
2024-02-18 16:12:29.971457,"(206, 546)"
2024-02-18 16:12:30.199082,"(204, 547)"
2024-02-18 16:12:30.426940,"(203, 505)"
2024-02-18 16:12:30.654936,"(201, 463)"
2024-02-18 16:12:30.896747,"(200, 425)"
2024-02-18 16:12:31.127879,"(198, 392)"
2024-02-18 16:12:31.367492,"(197, 363)"
2024-02-18 16:12:31.851710,"(193, 324)"
2024-02-18 16:12:32.094985,"(191, 320)"
2024-02-18 16:12:32.340608,"(189, 328)"
2024-02-18 16:12:32.583661,"(186, 351)"
2024-02-18 16:12:32.814337,"(183, 386)"
2024-02-18 16:12:33.041779,"(181, 426)"
2024-02-18 16:12:33.286633,"(178, 469)"
2024-02-18 16:12:33.761543,"(172, 567)"
2024-02-18 16:12:33.996441,"(173, 520)"
2024-02-18 16:12:34.236312,"(173, 475)"
2024-02-18 16:12:34.476409,"(173, 441)"
2024-02-18 16:12:34.716980,"(173, 407)"
2024-02-18 16:12:34.958257,"(173, 377)"
2024-02-18 16:12:35.198356,"(173, 352)"
2024-02-18 16:12:35.440944,"(172, 333)"
2024-02-18 16:12:35.684162,"(172, 320)"
2024-02-18 16:12:35.925251,"(172, 318)"
2024-02-18 16:12:36.414127,"(173, 366)"
2024-02-18 16:12:36.645027,"(172, 411)"
2024-02-18 16:12:37.365611,"(169, 570)"
2024-02-18 16:12:38.313393,"(181, 412)"
2024-02-18 16:12:38.554512,"(184, 379)"
2024-02-18 16:12:38.791203,"(187, 351)"
2024-02-18 16:12:39.027309,"(189, 327)"
2024-02-18 16:12:39.262133,"(192, 310)"
2024-02-18 16:12:39.732532,"(196, 312)"
2024-02-18 16:12:39.968462,"(199, 339)"
2024-02-18 16:12:40.204165,"(200, 380)"
2024-02-18 16:12:40.438960,"(200, 425)"
2024-02-18 16:12:40.674714,"(201, 471)"
2024-02-18 16:12:40.911537,"(201, 520)"
2024-02-18 16:12:41.147106,"(201, 588)"
2024-02-18 16:12:41.382671,"(201, 543)"
2024-02-18 16:12:41.854386,"(202, 455)"
2024-02-18 16:12:42.089580,"(203, 422)"
2024-02-18 16:12:42.324329,"(204, 389)"
2024-02-18 16:12:42.559947,"(204, 360)"
2024-02-18 16:12:42.796234,"(205, 338)"
2024-02-18 16:12:43.031972,"(205, 321)"
2024-02-18 16:12:43.267157,"(203, 321)"
2024-02-18 16:12:43.502791,"(201, 334)"
2024-02-18 16:12:43.738214,"(198, 365)"
2024-02-18 16:12:43.974242,"(193, 409)"
2024-02-18 16:12:44.209253,"(188, 456)"
2024-02-18 16:12:44.445137,"(182, 507)"
2024-02-18 16:12:44.681371,"(178, 563)"
2024-02-18 16:12:44.916145,"(174, 576)"
2024-02-18 16:12:45.151332,"(176, 526)"
2024-02-18 16:12:45.388472,"(172, 483)"
2024-02-18 16:12:45.623082,"(171, 443)"
2024-02-18 16:12:45.858338,"(170, 409)"
2024-02-18 16:12:46.094246,"(170, 378)"
2024-02-18 16:12:46.328627,"(169, 352)"
2024-02-18 16:12:46.563504,"(168, 332)"
2024-02-18 16:12:46.799200,"(168, 320)"
2024-02-18 16:12:47.036176,"(168, 315)"
2024-02-18 16:12:47.271778,"(169, 319)"
2024-02-18 16:12:47.506071,"(168, 336)"
2024-02-18 16:12:47.742531,"(169, 367)"
2024-02-18 16:12:47.978234,"(171, 412)"
2024-02-18 16:12:48.213256,"(170, 451)"
2024-02-18 16:12:48.682407,"(167, 561)"
2024-02-18 16:12:49.163043,"(175, 542)"
2024-02-18 16:12:49.633057,"(180, 456)"
2024-02-18 16:12:49.868414,"(182, 421)"
2024-02-18 16:12:50.104307,"(185, 389)"
2024-02-18 16:12:50.339398,"(187, 362)"
2024-02-18 16:12:50.570257,"(189, 342)"
2024-02-18 16:12:50.799137,"(191, 326)"
2024-02-18 16:12:51.032364,"(192, 322)"
2024-02-18 16:12:51.266426,"(192, 334)"
2024-02-18 16:12:51.499460,"(192, 360)"
2024-02-18 16:12:51.734189,"(191, 400)"
2024-02-18 16:12:51.967605,"(187, 448)"
2024-02-18 16:12:52.195170,"(185, 500)"
2024-02-18 16:12:52.417803,"(183, 550)"
2024-02-18 16:12:52.640296,"(178, 609)"
2024-02-18 16:12:52.863466,"(179, 557)"
2024-02-18 16:12:53.087203,"(178, 514)"
2024-02-18 16:12:53.315772,"(177, 469)"
2024-02-18 16:12:53.538193,"(175, 433)"
2024-02-18 16:12:53.772429,"(174, 397)"
2024-02-18 16:12:54.007114,"(172, 367)"
2024-02-18 16:12:54.241347,"(171, 343)"
2024-02-18 16:12:54.472721,"(169, 326)"
2024-02-18 16:12:54.707129,"(168, 316)"
2024-02-18 16:12:54.942415,"(167, 316)"
2024-02-18 16:12:55.176482,"(165, 324)"
2024-02-18 16:12:55.408250,"(162, 343)"
2024-02-18 16:12:55.643348,"(159, 376)"
2024-02-18 16:12:55.871387,"(155, 423)"
2024-02-18 16:12:56.339755,"(149, 524)"
2024-02-18 16:12:56.574939,"(145, 589)"
2024-02-18 16:12:56.808897,"(146, 579)"
2024-02-18 16:12:57.270186,"(153, 482)"
2024-02-18 16:12:57.487181,"(157, 440)"
2024-02-18 16:12:57.706906,"(160, 404)"
2024-02-18 16:12:57.925665,"(163, 371)"
2024-02-18 16:12:58.155703,"(166, 344)"
2024-02-18 16:12:58.390115,"(169, 327)"
2024-02-18 16:12:58.622660,"(172, 322)"
2024-02-18 16:12:58.856392,"(175, 329)"
2024-02-18 16:12:59.090748,"(177, 349)"
2024-02-18 16:12:59.554770,"(180, 434)"
2024-02-18 16:13:00.254730,"(179, 603)"
2024-02-18 16:13:00.487341,"(180, 567)"
2024-02-18 16:13:01.162275,"(191, 440)"
2024-02-18 16:13:01.383263,"(194, 404)"
2024-02-18 16:13:01.603124,"(197, 373)"
2024-02-18 16:13:01.823486,"(200, 347)"
2024-02-18 16:13:02.043347,"(202, 328)"
2024-02-18 16:13:02.262607,"(205, 316)"
2024-02-18 16:13:02.482085,"(207, 315)"
2024-02-18 16:13:02.707590,"(211, 328)"
2024-02-18 16:13:02.927249,"(216, 351)"
2024-02-18 16:13:03.159809,"(221, 389)"
2024-02-18 16:13:03.393376,"(225, 437)"
2024-02-18 16:13:04.084168,"(233, 601)"
2024-02-18 16:13:04.319776,"(237, 568)"
2024-02-18 16:13:04.552810,"(244, 518)"
2024-02-18 16:13:04.786175,"(248, 476)"
2024-02-18 16:13:05.019254,"(253, 439)"
2024-02-18 16:13:05.252627,"(257, 403)"
2024-02-18 16:13:06.185504,"(272, 309)"
2024-02-18 16:13:06.411368,"(274, 306)"
2024-02-18 16:13:06.634061,"(276, 318)"
2024-02-18 16:13:06.867370,"(277, 342)"
2024-02-18 16:13:07.102682,"(278, 379)"
2024-02-18 16:13:07.335343,"(279, 422)"
2024-02-18 16:13:07.569937,"(280, 468)"
2024-02-18 16:13:07.808372,"(281, 515)"
2024-02-18 16:13:08.044732,"(281, 569)"
2024-02-18 16:13:08.273507,"(282, 618)"
2024-02-18 16:13:08.505085,"(289, 563)"
2024-02-18 16:13:08.738157,"(295, 517)"
2024-02-18 16:13:08.970716,"(303, 474)"
2024-02-18 16:13:09.204343,"(309, 442)"
2024-02-18 16:13:09.438844,"(316, 410)"
2024-02-18 16:13:09.672586,"(322, 384)"
2024-02-18 16:13:09.906836,"(328, 362)"
2024-02-18 16:13:10.142153,"(334, 346)"
2024-02-18 16:13:10.376750,"(337, 345)"
2024-02-18 16:13:10.610455,"(338, 366)"
2024-02-18 16:13:10.844272,"(331, 404)"
2024-02-18 16:13:11.079143,"(324, 449)"
2024-02-18 16:13:11.313787,"(316, 491)"
2024-02-18 16:13:11.551136,"(309, 543)"
2024-02-18 16:13:11.786795,"(298, 602)"
2024-02-18 16:13:12.022193,"(298, 590)"
2024-02-18 16:13:12.254090,"(299, 541)"
2024-02-18 16:13:12.489043,"(299, 496)"
2024-02-18 16:13:12.723293,"(300, 459)"
2024-02-18 16:13:12.958322,"(301, 426)"
2024-02-18 16:13:13.189399,"(302, 396)"
2024-02-18 16:13:13.655707,"(301, 353)"
2024-02-18 16:13:13.889698,"(300, 349)"
2024-02-18 16:13:14.123808,"(298, 365)"
2024-02-18 16:13:14.589693,"(298, 430)"
2024-02-18 16:13:14.818707,"(297, 468)"
2024-02-18 16:13:15.055548,"(296, 511)"
2024-02-18 16:13:15.289265,"(294, 562)"
2024-02-18 16:13:15.523207,"(292, 619)"
2024-02-18 16:13:15.757005,"(295, 596)"
2024-02-18 16:13:15.991358,"(300, 552)"
2024-02-18 16:13:16.225640,"(304, 507)"
2024-02-18 16:13:16.458876,"(308, 472)"
2024-02-18 16:13:16.692893,"(311, 444)"
2024-02-18 16:13:16.926887,"(314, 419)"
2024-02-18 16:13:17.161153,"(316, 398)"
2024-02-18 16:13:17.395664,"(318, 384)"
2024-02-18 16:13:17.630268,"(319, 380)"
2024-02-18 16:13:17.864809,"(316, 406)"
2024-02-18 16:13:18.099985,"(311, 452)"
2024-02-18 16:13:18.334899,"(306, 498)"
2024-02-18 16:13:18.569186,"(299, 555)"
2024-02-18 16:13:19.042597,"(293, 610)"
2024-02-18 16:13:19.277068,"(297, 562)"
2024-02-18 16:13:19.511798,"(300, 514)"
2024-02-18 16:13:19.747801,"(304, 474)"
2024-02-18 16:13:19.985781,"(306, 440)"
2024-02-18 16:13:20.220070,"(308, 409)"
2024-02-18 16:13:20.454173,"(310, 384)"
2024-02-18 16:13:20.688543,"(311, 364)"
2024-02-18 16:13:20.923097,"(311, 352)"
2024-02-18 16:13:21.157414,"(309, 363)"
2024-02-18 16:13:21.389440,"(303, 398)"
2024-02-18 16:13:21.625051,"(295, 448)"
2024-02-18 16:13:21.854438,"(287, 501)"
2024-02-18 16:13:22.089395,"(278, 563)"
2024-02-18 16:13:22.556743,"(262, 645)"
2024-02-18 16:13:22.789023,"(260, 590)"
